state,data_source,has_placer_data,match_score,match_type,match_details,regulator_name,regulator_address,regulator_city,regulator_zip,regulator_county,placer_name,placer_address,placer_city,placer_zip,latitude,longitude,visits,sq_ft,visits_per_sq_ft,chain_name,chain_id,dispensary_id,census_state_fips,census_county_fips,census_tract_fips,census_geoid,census_tract_name,total_population,median_age,median_household_income,per_capita_income,total_pop_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,pop_1mi,pop_3mi,pop_5mi,pop_10mi,pop_20mi,pct_bachelor_plus,population_density,census_tract_error,census_data_complete,census_api_error,census_collection_date
FL,regulator_with_placer,True,96.4,fuzzy,addr:94|city:100|zip:100,Surterra Wellness,1200 Deltona Boulevard,Deltona,32725,Volusia,Surterra Wellness,1200 Deltona Blvd #2,Deltona,32725.0,28.895116806030273,-81.27278137207031,74198.0,1538.8061496358434,48.217899322509766,Surterra Wellness,60a3920e6b7a694c7c956ec3,FL_0180,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,97.0,fuzzy,addr:95|city:100|zip:100,Trulieve,6651 S Semoran Boulevard,Orlando,32822,Orange,Trulieve,6655 S Semoran Blvd,Orlando,32822.0,28.46717071533203,-81.30900573730469,74143.0,3738.3088723309374,19.83329963684082,Trulieve,600018e779364106f1345643,FL_0181,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,97.0,fuzzy,addr:95|city:100|zip:100,Trulieve,1260 Jacaranda Boulevard,Venice,34292,Sarasota,Trulieve,1290 Jacaranda Blvd,Venice,34292.0,27.07976531982422,-82.38677215576172,74136.0,3144.5936964952025,23.575700759887695,Trulieve,600018e779364106f1345643,FL_0182,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,85.0,fuzzy,addr:100|city:100|zip:0,GrowHealthy,1525 E Brandon Boulevard,Brandon,33411,Hillsborough,GrowHealthy,1525 E Brandon Blvd,Brandon,33511.0,27.937170028686523,-82.26240539550781,74115.0,5029.416993681972,14.736300468444824,GrowHealthy,61ed6706873a701e0aea0376,FL_0183,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,FLUENT,5138 Deer Park Drive,New Port Richey,34653,Pasco,FLUENT Cannabis Care,5138 Deer Park Dr,New Port Richey,34653.0,28.23431396484375,-82.66763305664062,74076.0,4626.309197535107,16.011899948120117,FLUENT Cannabis Care,61ed5ba8873a7018afea0377,FL_0184,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Goldflower Cannabis,5220 Hardware Place,Sebring,33870,Highlands,Goldflower Cannabis,5220 Hardware Pl,Sebring,33870.0,27.50516128540039,-81.49290466308594,73998.0,3083.609752902767,23.99720001220703,Goldflower Cannabis,66452b5430bbf60359055a47,FL_0185,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Curaleaf,846 E Brandon Boulevard,Brandon,33511,Hillsborough,Curaleaf,846 E Brandon Blvd,Brandon,33511.0,27.93831443786621,-82.27159118652344,73553.0,8696.160748480008,8.458100318908691,Curaleaf,60a391b56b7a694c7c956ebe,FL_0186,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,85.0,fuzzy,addr:100|city:100|zip:0,Curaleaf,9268 SE Maricamp Road,Ocala,34772,Marion,Curaleaf,9268 Se Maricamp Rd,Ocala,34472.0,29.111967086791992,-82.021484375,73500.0,5413.208254843209,13.577899932861328,Curaleaf,60a391b56b7a694c7c956ebe,FL_0187,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Curaleaf,2 E 9 Mile Road,Pensacola,32534,Escambia,Curaleaf,2 E 9 Mile Rd,Pensacola,32534.0,30.533615112304688,-87.27359008789062,73295.0,3764.200249864675,19.471599578857425,Curaleaf,60a391b56b7a694c7c956ebe,FL_0188,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,95.8,fuzzy,addr:93|city:100|zip:100,Trulieve,1530 SW 8th Street,Boynton Beach,33426,Palm Beach,Trulieve,1534 SW 8th Street,Boynton Beach,33426.0,26.516874313354492,-80.07682800292969,73274.0,3109.851180675874,23.561899185180664,Trulieve,600018e779364106f1345643,FL_0189,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
