USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
FL	12009065001	7006577	115708	2.705	0.045	28.0689673	-80.6851325                                                                                                                                        
FL	12009065022	5011674	0	1.935	0.	28.0642764	-80.6459155                                                                                                                                                
FL	12009065023	3866346	68730	1.493	0.027	28.0469304	-80.6516877                                                                                                                                         
FL	12009065024	3784356	317341	1.461	0.123	28.0614425	-80.6623115                                                                                                                                        
FL	12009065025	1307547	19798	0.505	0.008	28.0752492	-80.6634319                                                                                                                                         
FL	12009065123	7681891	3358671	2.966	1.297	28.0427923	-80.5904944                                                                                                                                       
FL	12009065124	3239670	0	1.251	0.	28.0572895	-80.6106228                                                                                                                                                
FL	12009065126	1527237	0	0.59	0.	28.0422464	-80.6332771                                                                                                                                                 
FL	12009065127	2372397	0	0.916	0.	28.0444023	-80.6187673                                                                                                                                                
FL	12009065128	1278472	9318	0.494	0.004	28.0391176	-80.6126214                                                                                                                                          
FL	12009065129	4842333	0	1.87	0.	28.0231101	-80.6115693                                                                                                                                                 
FL	12009065130	2927780	1093	1.13	0.	28.0234993	-80.6298656                                                                                                                                              
FL	12009065131	3447524	0	1.331	0.	28.0292894	-80.6398853                                                                                                                                                
FL	12009065201	4359979	4426030	1.683	1.709	28.0205082	-80.5729469                                                                                                                                       
FL	12009065202	6241707	12871	2.41	0.005	28.0036843	-80.6195936                                                                                                                                          
FL	12009065231	71265745	10847531	27.516	4.188	27.9635513	-80.5807544                                                                                                                                    
FL	12009065236	53634668	3822255	20.708	1.476	27.9097787	-80.5605671                                                                                                                                     
FL	12009065237	2575339	4644	0.994	0.002	27.8900571	-80.5292347                                                                                                                                          
FL	12009065238	65406417	2239758	25.254	0.865	27.8462615	-80.554114                                                                                                                                      
FL	12009065239	4889220	3333942	1.888	1.287	27.8650822	-80.4994904                                                                                                                                       
FL	12009065240	2399448	1950923	0.926	0.753	27.886466	-80.505304                                                                                                                                         
FL	12009066101	3768887	8309163	1.455	3.208	28.058262	-80.5617524                                                                                                                                        
FL	12009066103	1450111	4004306	0.56	1.546	28.0407113	-80.5528403                                                                                                                                        
FL	12009066104	15852354	43235624	6.121	16.693	27.9440265	-80.5034269                                                                                                                                    
FL	12009066200	2385872	4386347	0.921	1.694	28.0813958	-80.5742034                                                                                                                                       
FL	12009066301	4558720	6174441	1.76	2.384	28.1197479	-80.5896399                                                                                                                                        
